threshold,precision,recall,f1,tp,fp,tn,fn
0.34877755511022046,0.20454545454545456,0.9642857142857143,0.3375,54,210,2920,2
0.34975951903807617,0.20532319391634982,0.9642857142857143,0.3385579937304075,54,209,2921,2
0.3507414829659319,0.20610687022900764,0.9642857142857143,0.33962264150943394,54,208,2922,2
0.3517234468937876,0.20930232558139536,0.9642857142857143,0.34394904458598724,54,204,2926,2
0.3527054108216433,0.21011673151750973,0.9642857142857143,0.3450479233226837,54,203,2927,2
0.353687374749499,0.21011673151750973,0.9642857142857143,0.3450479233226837,54,203,2927,2
0.35466933867735473,0.2125984251968504,0.9642857142857143,0.34838709677419355,54,200,2930,2
0.35565130260521044,0.21115537848605578,0.9464285714285714,0.34527687296416937,53,198,2932,3
0.35663326653306615,0.21115537848605578,0.9464285714285714,0.34527687296416937,53,198,2932,3
0.35761523046092186,0.212,0.9464285714285714,0.3464052287581699,53,197,2933,3
0.3585971943887776,0.2145748987854251,0.9464285714285714,0.34983498349834985,53,194,2936,3
0.3595791583166333,0.2145748987854251,0.9464285714285714,0.34983498349834985,53,194,2936,3
0.360561122244489,0.2190082644628099,0.9464285714285714,0.35570469798657717,53,189,2941,3
0.3615430861723447,0.22083333333333333,0.9464285714285714,0.3581081081081081,53,187,2943,3
0.3625250501002004,0.22083333333333333,0.9464285714285714,0.3581081081081081,53,187,2943,3
0.36350701402805613,0.22362869198312235,0.9464285714285714,0.36177474402730375,53,184,2946,3
0.36448897795591184,0.2245762711864407,0.9464285714285714,0.363013698630137,53,183,2947,3
0.36547094188376755,0.2264957264957265,0.9464285714285714,0.36551724137931035,53,181,2949,3
0.36645290581162326,0.22844827586206898,0.9464285714285714,0.3680555555555556,53,179,2951,3
0.367434869739479,0.22844827586206898,0.9464285714285714,0.3680555555555556,53,179,2951,3
0.3684168336673347,0.22943722943722944,0.9464285714285714,0.3693379790940767,53,178,2952,3
0.3693987975951904,0.2324561403508772,0.9464285714285714,0.3732394366197183,53,175,2955,3
0.3703807615230461,0.23348017621145375,0.9464285714285714,0.3745583038869258,53,174,2956,3
0.3713627254509018,0.23660714285714285,0.9464285714285714,0.37857142857142856,53,171,2959,3
0.37234468937875753,0.2398190045248869,0.9464285714285714,0.38267148014440433,53,168,2962,3
0.37332665330661324,0.2420091324200913,0.9464285714285714,0.38545454545454544,53,166,2964,3
0.37430861723446895,0.2420091324200913,0.9464285714285714,0.38545454545454544,53,166,2964,3
0.37529058116232467,0.2420091324200913,0.9464285714285714,0.38545454545454544,53,166,2964,3
0.3762725450901804,0.24311926605504589,0.9464285714285714,0.38686131386861317,53,165,2965,3
0.3772545090180361,0.24311926605504589,0.9464285714285714,0.38686131386861317,53,165,2965,3
0.3782364729458918,0.24311926605504589,0.9464285714285714,0.38686131386861317,53,165,2965,3
0.3792184368737475,0.24413145539906103,0.9285714285714286,0.38661710037174724,52,161,2969,4
0.3802004008016032,0.24644549763033174,0.9285714285714286,0.3895131086142322,52,159,2971,4
0.38118236472945893,0.25120772946859904,0.9285714285714286,0.39543726235741444,52,155,2975,4
0.38216432865731464,0.25120772946859904,0.9285714285714286,0.39543726235741444,52,155,2975,4
0.38314629258517036,0.2524271844660194,0.9285714285714286,0.3969465648854962,52,154,2976,4
0.38412825651302607,0.2524271844660194,0.9285714285714286,0.3969465648854962,52,154,2976,4
